Køn,All,,
Skoleår,2020/2021,,
Afdelingstype,(Multiple Items),,
,,,
Row Labels,Antal elever der modtager seg specialundervisning,Antal elever der modtager specialundervisning i normalklasser,Antal elever
Albertslund,234,27,"2,965"
Allerød,197,,"3,160"
Assens,225,,"3,907"
Ballerup,359,7,"5,106"
Billund,127,33,"2,714"
Bornholm,133,54,"2,624"
Brøndby,231,13,"3,360"
Brønderslev,243,8,"4,039"
Christiansø,,,17
Dragør,,,"1,917"
Egedal,207,32,"5,207"
Esbjerg,425,65,"11,320"
Fanø,7,,349
Favrskov,291,17,"6,034"
Faxe,271,19,"3,323"
Fredensborg,183,25,"3,941"
Fredericia,241,51,"4,930"
Frederiksberg,350,14,"7,801"
Frederikshavn,307,36,"5,043"
Frederikssund,277,24,"3,957"
Furesø,237,44,"5,036"
Faaborg-Midtfyn,327,42,"4,084"
Gentofte,177,26,"7,622"
Gladsaxe,304,59,"6,821"
Glostrup,111,17,"2,169"
Greve,323,,"5,376"
Gribskov,254,27,"3,026"
Guldborgsund,265,65,"4,951"
Haderslev,477,12,"4,823"
Halsnæs,165,60,"2,353"
Hedensted,212,13,"5,113"
Helsingør,370,49,"5,866"
Herlev,229,10,"2,974"
Herning,560,,"9,255"
Hillerød,451,33,"5,185"
Hjørring,280,87,"5,567"
Holbæk,754,98,"6,091"
Holstebro,461,,"5,794"
Horsens,421,36,"9,412"
Hvidovre,279,14,"5,890"
Høje-Taastrup,259,17,"4,700"
Hørsholm,56,11,"2,315"
Ikast-Brande,218,171,"4,388"
Ishøj,137,7,"2,121"
Jammerbugt,226,5,"4,002"
Kalundborg,363,,"3,867"
Kerteminde,132,,"2,261"
Kolding,473,57,"9,165"
København,"2,604",508,"41,937"
Køge,245,13,"5,945"
Langeland,51,7,882
Lejre,221,16,"3,014"
Lemvig,102,31,"1,748"
Lolland,270,15,"2,699"
Lyngby-Taarbæk,450,9,"6,460"
Læsø,,,126
Mariagerfjord,214,14,"3,968"
Middelfart,272,15,"3,699"
Morsø,91,43,"1,522"
Norddjurs,259,29,"2,782"
Nordfyns,109,7,"3,054"
Nyborg,214,,"2,602"
Næstved,769,84,"8,037"
Odder,145,,"2,066"
Odense,911,16,"16,821"
Odsherred,238,10,"2,259"
Randers,604,49,"8,564"
Rebild,154,22,"3,682"
Ringkøbing-Skjern,324,28,"5,165"
Ringsted,327,13,"3,060"
Roskilde,392,79,"9,324"
Rudersdal,230,7,"6,447"
Rødovre,293,8,"4,267"
Samsø,18,15,238
Silkeborg,535,23,"10,406"
Skanderborg,364,,"8,138"
Skive,267,31,"4,801"
Slagelse,693,9,"6,847"
Solrød,112,,"2,759"
Sorø,157,5,"2,777"
Stevns,180,7,"1,774"
Struer,179,22,"2,091"
Svendborg,331,18,"5,205"
Syddjurs,101,196,"4,126"
Sønderborg,371,17,"6,315"
Thisted,253,43,"4,179"
Tønder,156,37,"2,827"
Tårnby,219,10,"4,906"
Vallensbæk,66,12,"2,232"
Varde,236,10,"5,179"
Vejen,209,19,"4,555"
Vejle,704,24,"11,354"
Vesthimmerlands,198,6,"3,628"
Viborg,536,109,"10,287"
Vordingborg,94,111,"3,401"
Ærø,,17,400
Aabenraa,458,19,"5,466"
Aalborg,"1,027",17,"19,201"
Aarhus,"1,548",27,"29,078"
Grand Total,"31,332","3,224","534,241"
