municipality,total_area,out_reach,out_reach_per
Albertslund,23205187,6081729,26.21
Allerød,68059711,13485097,19.81
Ballerup,34081257,12564612,36.87
Bornholm,590168464,538462875,91.24
Brøndby,21431555,6548172,30.55
Christiansø,385034,385034,100
Dragør,19055088,15925798,83.58
Egedal,125985428,123861202,98.31
Fredensborg,111740164,62417086,55.86
Frederiksberg,8684007,0,0
Frederikssund,252456325,226754613,89.82
Furesø,56557024,46859854,82.85
Gentofte,25859881,350321,1.35
Gladsaxe,25017075,0,0
Glostrup,13390680,0,0
Gribskov,280349958,280349958,100
Halsnæs,123378843,108800243,88.18
Helsingør,122281828,122281828,100
Herlev,12097061,0,0
Hillerød,213246962,143348380,67.22
Høje Taastrup,77709007,61394840,79.01
Hørsholm,31415744,6840073,21.77
Hvidovre,23152620,4351785,18.8
Ishøj,26138318,5404617,20.68
København,89508554,4373904,4.89
Lyngby-Taarbæk,38702415,9638279,24.9
Rødovre,12121736,0,0
Rudersdal,73363932,46214277,62.99
Tårnby,66987487,47974674,71.62
Vallensbæk,9030557,898416,9.95
Århus,472173787,394096152,83.46
Favrskov,541482717,541482717,100
Hedensted,552217314,514989211,93.26
Herning,1323481428,1289472473,97.43
Holstebro,800750437,762026242,95.16
Horsens,525798193,393216206,74.78
Ikast-Brande,735084063,735084063,100
Lemvig,513564023,513564023,100
Norddjurs,725545460,672199921,92.65
Odder,225962196,208152636,92.12
Randers,751572089,703627365,93.62
Ringkøbing-Skjern,1473164851,1423828744,96.65
Samsø,114189409,114189409,100
Silkeborg,863721839,831520221,96.27
Skanderborg,455309715,424377226,93.21
Skive,689561951,657154748,95.3
Struer,246311959,246311959,100
Syddjurs,697239357,680696003,97.63
Viborg,1420808000,1381035078,97.2
Aalborg,1139729821,1046714683,91.84
Brønderslev,633070696,633070696,100
Frederikshavn,648814538,622772623,95.99
Hjørring,924179977,888478704,96.14
Jammerbugt,867415738,814116397,93.86
Læsø,120281039,120281039,100
Mariagerfjord,724034088,694467394,95.92
Morsø,366824409,343259665,93.58
Rebild,623745262,601403374,96.42
Thisted,1095919332,1095919332,100
Vesthimmerland,766987828,731890629,95.42
Faxe,405827697,346936499,85.49
Greve,61121337,18150654,29.7
Guldborgsund,905887073,903501469,99.74
Holbæk,581363358,528162360,90.85
Kalundborg,608306271,571990119,94.03
Køge,256054400,179889483,70.25
Lejre,241082384,177530797,73.64
Lolland,898455693,795885084,88.58
Næstved,688376424,688119370,99.96
Odsherred,359129724,333970710,92.99
Ringsted,295629252,243360216,82.32
Roskilde,212648991,155860504,73.29
Slagelse,585153446,529996518,90.57
Solrød,40342621,40221331,99.7
Sorø,307702343,286256899,93.03
Stevns,251356324,236227895,93.98
Vordingborg,638606495,619830294,97.06
Aabenraa,941862991,911622354,96.79
Ærø,90029896,90029896,100
Assens,512407348,493326720,96.28
Billund,539855148,539855148,100
Esbjerg,782382692,782382692,100
Faaborg-Midtfyn,635454918,635179283,99.96
Fanø,64431541,64431541,100
Fredericia,136066208,90494141,66.51
Haderslev,823256817,795065547,96.58
Kerteminde,215821522,211149572,97.84
Kolding,606516453,475069043,78.33
Langeland,291986037,266060826,91.12
Middelfart,300256481,274089138,91.29
Nordfyns,451741967,407578818,90.22
Nyborg,278414884,238947317,85.82
Odense,305795249,237103931,77.54
Sønderborg,494294918,464592992,93.99
Svendborg,418434791,351810770,84.08
Tønder,1174356170,1174356170,100
Varde,1232704092,1207005504,97.92
Vejen,813782170,813481344,99.96
Vejle,1060705554,1031497133,97.25
