X1,X2
Albertslund,234
Allerød,197
Assens,225
Ballerup,359
Billund,127
Bornholm,133
Brøndby,231
Brønderslev,243
Christiansø,NA
Dragør,NA
Egedal,207
Esbjerg,425
Fanø,7
Favrskov,291
Faxe,271
Fredensborg,183
Fredericia,241
Frederiksberg,350
Frederikshavn,307
Frederikssund,277
Furesø,237
Faaborg-Midtfyn,327
Gentofte,177
Gladsaxe,304
Glostrup,111
Greve,323
Gribskov,254
Guldborgsund,265
Haderslev,477
Halsnæs,165
Hedensted,212
Helsingør,370
Herlev,229
Herning,560
Hillerød,451
Hjørring,280
Holbæk,754
Holstebro,461
Horsens,421
Hvidovre,279
Høje-Taastrup,259
Hørsholm,56
Ikast-Brande,218
Ishøj,137
Jammerbugt,226
Kalundborg,363
Kerteminde,132
Kolding,473
København,2604
Køge,245
Langeland,51
Lejre,221
Lemvig,102
Lolland,270
Lyngby-Taarbæk,450
Læsø,NA
Mariagerfjord,214
Middelfart,272
Morsø,91
Norddjurs,259
Nordfyns,109
Nyborg,214
Næstved,769
Odder,145
Odense,911
Odsherred,238
Randers,604
Rebild,154
Ringkøbing-Skjern,324
Ringsted,327
Roskilde,392
Rudersdal,230
Rødovre,293
Samsø,18
Silkeborg,535
Skanderborg,364
Skive,267
Slagelse,693
Solrød,112
Sorø,157
Stevns,180
Struer,179
Svendborg,331
Syddjurs,101
Sønderborg,371
Thisted,253
Tønder,156
Tårnby,219
Vallensbæk,66
Varde,236
Vejen,209
Vejle,704
Vesthimmerlands,198
Viborg,536
Vordingborg,94
Ærø,NA
Aabenraa,458
Aalborg,1027
Aarhus,1548
